"Performance Index, Trend"
"All Districts, All Schools"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."

"",,,,,,"2015-16",,,"2016-17",,,"2017-18",,
"Avon School District","=""0040011""","Avon High School","=""0046111""","Race/Ethnicity","American Indian or Alaska Native","*","*","*","*","*","*","*","*","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Race/Ethnicity","Asian",84.3,89.4,72.4,78.8,87.8,76.0,87.8,95.9,"N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Race/Ethnicity","Black or African American","*","*","*","*","*","*","*","*","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Race/Ethnicity","Hispanic or Latino","*","*","*","*","*","*","*","*","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Race/Ethnicity","Two or More Races","*","*","*","*","*","*","*","*","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Race/Ethnicity","White",75.1,73.4,71.3,76.1,76.3,66.0,72.4,70.6,"N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Special Education Status (SWD)","Students with Disabilities",62.5,54.1,51.1,50.2,51.6,45.7,"*","*","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Special Education Status (SWD)","Students without Disabilities",76.0,75.9,71.8,76.3,78.0,68.7,75.9,75.2,"N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","All Students","School",82.0,80.2,65.2,82.2,80.3,69.6,82.0,80.3,"N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","English Language Learners (EL)","English Learners","*","*","*","*","*","*","*","*","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","English Language Learners (EL)","Not English Learners",82.5,80.6,"*",82.7,80.7,70.3,82.4,80.5,"N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Gender","Female",83.2,78.9,65.8,85.2,79.7,67.2,84.6,80.0,"N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Gender","Male",80.9,81.4,64.7,79.7,80.8,71.4,79.7,80.5,"N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade","07",84.9,80.7,"N/A",82.3,78.1,"N/A",81.1,77.6,"N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Grade","08",79.1,79.8,65.2,82.0,82.6,69.6,82.8,83.0,"N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","High Needs (F/R, EL or SWD)","High Needs",62.1,59.2,50.9,59.7,56.1,56.1,63.5,60.0,"N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","High Needs (F/R, EL or SWD)","Not High Needs",86.5,85.0,68.8,85.5,83.8,71.8,85.9,84.6,"N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",67.1,63.2,"*",59.8,54.9,"*",68.5,62.0,"N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",82.8,81.2,65.4,83.2,81.4,70.4,83.1,81.8,"N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Race/Ethnicity","American Indian or Alaska Native","N/A","N/A","N/A","*","*","N/A","*","*","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Race/Ethnicity","Asian",89.4,91.8,72.8,87.7,91.0,72.4,85.2,91.9,"N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Race/Ethnicity","Black or African American",65.9,60.5,"*",66.9,59.1,"*","*","*","N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Race/Ethnicity","Hispanic or Latino",75.1,71.8,"*",76.5,74.4,"*",75.3,66.6,"N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Race/Ethnicity","Two or More Races","*","*","*","*","*","*",83.8,83.6,"N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Race/Ethnicity","White",81.4,79.0,64.9,82.0,79.4,69.5,82.7,80.3,"N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Special Education Status (SWD)","Students with Disabilities",59.5,56.0,46.4,56.9,52.7,57.0,52.0,47.3,"N/A"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Special Education Status (SWD)","Students without Disabilities",85.7,84.2,68.6,84.7,83.1,71.0,84.9,83.5,"N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","All Students","School",82.9,77.2,"N/A",81.6,77.9,"N/A",80.4,75.2,"N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","English Language Learners (EL)","English Learners",74.4,71.3,"N/A",71.9,70.9,"N/A",74.7,71.0,"N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","English Language Learners (EL)","Not English Learners",83.7,77.8,"N/A",82.8,78.8,"N/A",81.3,75.9,"N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Gender","Female",82.8,74.4,"N/A",82.3,75.7,"N/A",81.0,72.2,"N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Gender","Male",82.9,79.8,"N/A",81.0,80.4,"N/A",79.7,78.7,"N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade","03",80.7,74.7,"N/A",81.0,77.6,"N/A",79.6,73.0,"N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Grade","04",85.4,80.1,"N/A",82.3,78.3,"N/A",81.4,77.7,"N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","High Needs (F/R, EL or SWD)","High Needs",70.2,63.6,"N/A",67.8,64.5,"N/A",67.2,61.8,"N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","High Needs (F/R, EL or SWD)","Not High Needs",85.9,80.4,"N/A",85.2,81.4,"N/A",86.1,80.9,"N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals","*","*","N/A","*","*","N/A",64.4,56.2,"N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",83.7,78.2,"N/A",82.4,78.9,"N/A",82.4,77.6,"N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Race/Ethnicity","American Indian or Alaska Native","*","*","N/A","*","*","N/A","N/A","N/A","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Race/Ethnicity","Asian",85.8,85.7,"N/A",85.4,85.7,"N/A",86.5,85.3,"N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Race/Ethnicity","Black or African American","*","*","N/A","*","*","N/A",67.6,62.9,"N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Race/Ethnicity","Hispanic or Latino","*","*","N/A","*","*","N/A",68.2,59.4,"N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Race/Ethnicity","Native Hawaiian or Other Pacific Islander","N/A","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Race/Ethnicity","Two or More Races","*","*","N/A","*","*","N/A","*","*","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Race/Ethnicity","White",83.0,76.2,"N/A",82.2,77.1,"N/A",81.4,75.1,"N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Special Education Status (SWD)","Students with Disabilities",63.5,55.5,"N/A",62.1,59.6,"N/A",55.6,49.0,"N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Special Education Status (SWD)","Students without Disabilities",84.8,79.3,"N/A",83.5,79.6,"N/A",83.2,78.1,"N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","All Students","School",85.0,79.8,"N/A",83.1,78.2,"N/A",84.7,80.5,"N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","English Language Learners (EL)","English Learners","*","*","N/A","*","*","N/A","*","*","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","English Language Learners (EL)","Not English Learners","*","*","N/A",83.3,78.3,"N/A",85.1,81.0,"N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Gender","Female",86.0,77.2,"N/A",84.7,77.1,"N/A",88.1,81.4,"N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Gender","Male",84.1,82.3,"N/A",81.5,79.4,"N/A",81.7,79.8,"N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade","03",84.2,78.9,"N/A",82.9,78.5,"N/A",84.3,80.5,"N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Grade","04",85.8,80.7,"N/A",83.3,78.0,"N/A",85.2,80.5,"N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","High Needs (F/R, EL or SWD)","High Needs",68.6,66.0,"N/A",69.7,65.4,"N/A",67.6,59.8,"N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","High Needs (F/R, EL or SWD)","Not High Needs",87.5,81.8,"N/A",85.4,80.4,"N/A",87.7,84.1,"N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals","*","*","N/A","*","*","N/A","*","*","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",85.7,80.6,"N/A",84.0,79.0,"N/A",86.1,82.1,"N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Race/Ethnicity","American Indian or Alaska Native","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Race/Ethnicity","Asian",89.8,91.5,"N/A",85.9,85.6,"N/A",89.2,91.7,"N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Race/Ethnicity","Black or African American","*","*","N/A","*","*","N/A","*","*","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Race/Ethnicity","Hispanic or Latino","*","*","N/A",81.4,70.4,"N/A","*","*","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Race/Ethnicity","Two or More Races","*","*","N/A","*","*","N/A","*","*","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Race/Ethnicity","White",86.1,79.1,"N/A",82.6,77.8,"N/A",84.2,79.0,"N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Special Education Status (SWD)","Students with Disabilities","*","*","N/A","*","*","N/A","*","*","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Special Education Status (SWD)","Students without Disabilities",87.0,81.2,"N/A",84.7,79.8,"N/A",86.8,83.2,"N/A"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","All Students","School",82.9,76.5,66.5,82.1,75.9,66.3,82.8,77.2,"N/A"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","English Language Learners (EL)","English Learners","*","*","*",72.6,72.5,"*",73.2,73.1,"N/A"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","English Language Learners (EL)","Not English Learners",83.5,76.9,67.1,82.7,76.1,66.9,83.3,77.5,"N/A"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Gender","Female",85.6,76.0,66.0,83.8,74.4,64.9,82.1,75.2,"N/A"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Gender","Male",80.2,76.9,67.0,80.3,77.4,67.7,83.5,79.4,"N/A"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Grade","05",80.3,74.2,66.5,83.2,78.6,66.3,80.7,75.3,"N/A"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Grade","06",85.5,78.7,"N/A",81.2,73.7,"N/A",85.2,79.5,"N/A"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","High Needs (F/R, EL or SWD)","High Needs",63.8,57.7,49.6,62.1,57.4,54.2,68.1,61.5,"N/A"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","High Needs (F/R, EL or SWD)","Not High Needs",86.3,79.8,69.8,86.2,79.7,68.5,86.2,80.9,"N/A"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",60.0,51.4,"*",62.4,55.6,"*",68.1,58.7,"N/A"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",83.9,77.6,67.5,83.5,77.3,67.3,84.1,78.9,"N/A"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Race/Ethnicity","American Indian or Alaska Native","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Race/Ethnicity","Asian",84.4,86.2,70.7,91.2,91.4,70.6,90.0,89.3,"N/A"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Race/Ethnicity","Black or African American","*","*","*",58.5,50.9,"*",65.7,55.5,"N/A"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Race/Ethnicity","Hispanic or Latino",73.3,64.8,58.0,75.4,65.8,"*",76.2,68.2,"N/A"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Race/Ethnicity","Two or More Races",85.5,80.3,"*","*","*","*","*","*","N/A"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Race/Ethnicity","White",84.5,76.9,67.8,82.0,74.8,66.3,82.1,75.6,"N/A"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Special Education Status (SWD)","Students with Disabilities",62.4,54.9,44.5,47.0,41.2,"*",58.1,50.9,"N/A"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Special Education Status (SWD)","Students without Disabilities",85.2,78.9,68.7,85.1,78.8,67.4,85.2,79.8,"N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","All Students","School",75.9,62.2,62.5,75.0,62.8,54.9,74.2,64.0,"N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","English Language Learners (EL)","English Learners","*","*","N/A","*","*","N/A","*","*","N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","English Language Learners (EL)","Not English Learners","*","*",62.5,"*","*",54.9,"*","*","N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Gender","Female",77.6,62.5,64.0,77.5,61.1,55.1,77.6,65.3,"N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Gender","Male",74.2,61.9,61.0,72.5,64.5,54.7,71.1,62.8,"N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Grade","03",72.7,59.9,"N/A",72.3,64.4,"N/A",72.9,68.2,"N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Grade","04",75.2,61.0,"N/A",76.2,63.2,"N/A",75.0,68.9,"N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Grade","05",76.1,60.6,62.5,74.1,59.1,54.9,74.6,58.7,"N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Grade","06",78.7,66.6,"N/A",76.6,65.1,"N/A",74.2,61.8,"N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","High Needs (F/R, EL or SWD)","High Needs",64.8,48.5,"*",62.9,49.2,"*",66.0,55.0,"N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","High Needs (F/R, EL or SWD)","Not High Needs",79.8,67.0,67.2,79.5,67.8,60.1,78.9,69.0,"N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals","*","*","*","*","*","*",67.2,57.3,"N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",77.0,63.9,"*",76.9,64.4,57.5,76.1,65.8,"N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Race/Ethnicity","Asian","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Race/Ethnicity","Black or African American","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Race/Ethnicity","Hispanic or Latino","*","*","N/A","*","*","N/A","*","*","N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Race/Ethnicity","Two or More Races","*","*","N/A","*","*","*","*","*","N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Race/Ethnicity","White",75.9,62.1,62.5,74.7,62.7,"*",74.0,63.7,"N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Special Education Status (SWD)","Students with Disabilities",62.2,46.7,"*",61.8,47.5,"*",62.9,50.2,"N/A"
